Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
TTO,0,12.37,129.98,314.91,573.55,996.64,1433.18,1772.93,2001.87,7.24
TUN,0,2.85,27.86,64.24,109,177.39,241.05,284.07,308.04,1.21
TUR,0,6.71,67,154.36,262.2,429.2,587.08,699.17,770.86,2.98
TKM,0,2.88,27.21,60.98,99.61,157.68,209.23,240.86,256.58,1.06
UGA,0,0.31,2.45,4.84,6.6,8.91,10.21,10.26,9.71,0.05
UKR,0,2.4,26.47,66.16,124.22,218.81,316.71,392.04,438.65,1.59
ARE,0,22.43,211.09,468.98,758.18,1187.42,1554.12,1765.84,1861.17,7.83
GBR,0,27.76,278.76,648.47,1106.28,1793.33,2400.04,2760.89,2916.54,11.93
TZA,0,0.38,3.12,6.18,8.45,11.35,12.87,12.73,11.82,0.07
USA,0,34.74,342.33,786.15,1323.23,2115.52,2782.65,3151.08,3292.32,13.83
URY,0,8.87,90.59,213.71,373.88,622.72,858.98,1026.23,1132.01,4.33
UZB,0,0.9,8.66,19.67,32.89,53.33,72.49,85.76,93.84,0.37
VUT,0,1.83,16.27,34.63,52.67,77.93,96.79,104.78,105.72,0.49
VEN,0,6.81,65.03,146.91,243.87,390.67,522.11,606.83,654.67,2.64
VNM,0,0.91,8.86,20.42,34.71,56.66,77.3,91.62,100.01,0.39
YEM,0,0.79,6.91,14.72,22.67,34.43,44.46,50.58,53.92,0.23
ZMB,0,0.83,6.78,13.44,18.37,24.59,27.72,27.23,25.01,0.14
