Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
SLE,,0,0,0,0,0,0.01,0.01,0.01,0.03
SGP,,0,0,0,0,0,0,0,0,0
SVK,,0,0,0,0,0,0,0,0,0
SVN,,0,0,0,0,0,0,0,0,0
SLB,,0,0,0,0,0,0,0,0,0
ZAF,,0,0.01,0.03,0.06,0.1,0.14,0.17,0.19,0.71
ESP,,0,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.21
LKA,,0,0,0,0,0.01,0.01,0.01,0.01,0.04
SDN,,0,0.01,0.03,0.06,0.14,0.25,0.37,0.5,1.36
SUR,,0,0,0,0,0,0,0,0,0
SWE,,0,0,0,0,0,0,0,0.01,0.02
CHE,,0,0,0,0,0,0,0,0,0.01
SYR,,0,0,0.01,0.01,0.02,0.03,0.04,0.05,0.17
TJK,,0,0,0,0,0,0.01,0.01,0.01,0.03
THA,,0,0.01,0.03,0.05,0.07,0.09,0.09,0.09,0.43
MKD,,0,0,0,0,0,0,0,0,0
TGO,,0,0,0,0,0,0.01,0.01,0.02,0.05
TON,,0,0,0,0,0,0,0,0,0
TTO,,0,0,0,0,0,0,0,0,0
TUN,,0,0,0,0,0,0,0.01,0.01,0.02
TUR,,0,0.02,0.06,0.1,0.16,0.22,0.26,0.27,1.09
TKM,,0,0,0,0,0,0,0,0,0.01
UGA,,0,0.01,0.04,0.1,0.26,0.5,0.8,1.13,2.83
UKR,,0,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.14
ARE,,0,0,0,0,0,0,0.01,0.01,0.02
GBR,,0,0.01,0.03,0.06,0.1,0.15,0.18,0.21,0.75
TZA,,0,0.02,0.07,0.18,0.44,0.87,1.45,2.13,5.16
USA,,0.04,0.37,0.89,1.61,2.82,4.15,5.29,6.15,21.32
URY,,0,0,0,0,0,0,0,0,0
UZB,,0,0,0.01,0.02,0.03,0.04,0.05,0.05,0.2
VUT,,0,0,0,0,0,0,0,0,0
VEN,,0,0,0.01,0.02,0.03,0.05,0.05,0.06,0.22
VNM,,0,0.03,0.08,0.14,0.24,0.32,0.38,0.4,1.59
YEM,,0,0,0.01,0.02,0.05,0.07,0.09,0.1,0.34
ZMB,,0,0,0.01,0.02,0.04,0.08,0.13,0.2,0.47
