Country,2020,2030,2040,2050,2060,2070,2080,2090,2100,Cumulative Gt CO2
PER,0,3.07,30.75,71.74,124.01,204.97,280.81,332.05,360.75,1.41
PHL,0,1.37,13.7,31.98,55.27,91.36,125.16,148,160.79,0.63
POL,0,21.06,210.6,491.41,849.44,1404.03,1923.52,2274.53,2471.1,9.65
PRT,0,7.15,71.52,166.88,288.46,476.8,653.21,772.41,839.16,3.28
KOR,0,9.81,98.11,228.92,395.71,654.06,896.07,1059.58,1151.15,4.49
MDA,0,8.59,85.89,200.41,346.41,572.59,784.44,927.59,1007.75,3.93
ROU,0,10.07,100.68,234.92,406.07,671.2,919.54,1087.34,1181.31,4.61
RUS,0,21.94,219.36,511.85,884.76,1462.42,2003.51,2369.11,2573.85,10.05
RWA,0,0.1,1.03,2.39,4.14,6.84,9.37,11.08,12.04,0.05
KNA,0,3.59,35.93,83.84,144.92,239.54,328.16,388.05,421.58,1.65
LCA,0,1.9,19.03,44.41,76.77,126.89,173.83,205.56,223.32,0.87
VCT,0,1.23,12.33,28.78,49.74,82.22,112.64,133.19,144.7,0.56
WSM,0,1.06,10.58,24.68,42.67,70.52,96.62,114.25,124.12,0.48
STP,0,0.67,6.69,15.61,26.98,44.59,61.09,72.24,78.48,0.31
SAU,0,21.24,212.36,495.5,856.51,1415.72,1939.54,2293.47,2491.67,9.73
SEN,0,0.66,6.65,15.51,26.8,44.31,60.7,71.77,77.98,0.3
SRB,0,9.22,92.23,215.21,372.01,614.9,842.41,996.14,1082.22,4.22
SYC,0,5.64,56.38,131.55,227.39,375.84,514.91,608.87,661.49,2.58
SLE,0,0.26,2.65,6.17,10.67,17.64,24.17,28.58,31.05,0.12
SGP,0,14.54,145.4,339.28,586.46,969.36,1328.02,1570.36,1706.08,6.66
SVK,0,19.15,191.54,446.92,772.54,1276.92,1749.38,2068.61,2247.38,8.77
SVN,0,10.74,107.39,250.58,433.14,715.93,980.82,1159.81,1260.04,4.92
SLB,0,0.61,6.11,14.26,24.65,40.75,55.82,66.01,71.72,0.28
ZAF,0,17.22,172.22,401.86,694.64,1148.16,1572.98,1860.02,2020.76,7.89
ESP,0,9.57,95.67,223.22,385.86,637.78,873.76,1033.21,1122.5,4.38
LKA,0,0.71,7.11,16.59,28.67,47.39,64.92,76.77,83.4,0.33
SDN,0,0.47,4.71,10.99,19,31.41,43.03,50.88,55.27,0.22
SUR,0,5.27,52.69,122.94,212.51,351.26,481.23,569.05,618.22,2.41
SWE,0,23.17,231.73,540.7,934.64,1544.86,2116.46,2502.68,2718.96,10.61
CHE,0,14.05,140.51,327.85,566.72,936.73,1283.32,1517.5,1648.64,6.44
